Id,modularity_class,strength
provid,0,20665758
afford,0,15462
fewer,0,14015
despit,0,12102
aesthet,0,11033
shallow,0,8821
seamless,0,7959
choic,0,7935
quarter,0,6220
highqual,0,5792
cb,0,3986
inferior,0,2836
scoop,0,2190
hat,0,1945
incur,0,1780
thinwal,0,1714
expedit,0,1528
wavi,0,1523
satisfactorili,0,1397
surfacemount,0,1378
soundproof,0,1315
backpack,0,1313
cube,0,1294
delin,0,1157
maker,0,1089
crusher,0,1066
interspers,0,1006
vast,0,920
nc,0,786
broader,0,514
stalk,0,491
sidetosid,0,483
barshap,0,473
anyon,0,426
moist,0,415
vest,0,369
mind,0,355
ao,0,349
brittl,0,347
semiperm,0,317
compartment,0,309
agil,0,293
cumbersom,0,281
ringlik,0,267
denatur,0,254
keeper,0,249
transom,0,247
eav,0,232
advic,0,229
perish,0,225
groundsid,0,221
predisposit,0,212
indefinit,0,208
attachmentdetach,0,206
lowfrict,0,186
mouthpiec,0,178
blunt,0,175
cop,0,169
wellsuit,0,157
longlast,0,157
straightforward,0,156
coneshap,0,155
fab,0,111
wherev,0,107
regulat,0,107
gc,0,105
wm,0,105
consent,0,104
billboard,0,103
blister,0,102
glossi,0,102
multispecif,0,60
radiationcur,0,57
wellbalanc,0,56
handleabl,0,56
globe,0,55
reconcil,0,55
nonengin,0,55
waterresist,0,53
appeal,0,53
sturdi,0,53
upsiz,0,52
typifi,0,52
lta,0,52
px,0,51
fieldinduc,0,50
two,1,6636569
three,1,943831
mutual,1,380189
everi,1,223440
name,1,176109
twoway,1,78377
ten,1,19426
tripl,1,5947
power,2,12241135
output,2,6147129
suppli,2,5721485
current,2,5021156
circuit,2,4749307
switch,2,4125369
input,2,3425575
voltag,2,3266921
termin,2,2404778
convert,2,2371943
parallel,2,1780228
altern,2,1315103
frequenc,2,1289994
seri,2,1066754
phase,2,1035546
convers,2,975475
invert,2,785439
dc,2,747856
bu,2,693944
capacitor,2,676732
primari,2,653919
transform,2,646689
relay,2,642190
induct,2,567714
ac,2,561286
charger,2,555393
constant,2,546990
disconnect,2,522472
puls,2,520547
gate,2,428108
highvoltag,2,412441
bridg,2,374291
chip,2,364856
transistor,2,350746
diod,2,344410
resistor,2,342459
reson,2,295384
interrupt,2,291104
rectifi,2,287868
dcdc,2,286555
amplifi,2,272471
oscil,2,253731
capacit,2,251022
bidirect,2,232587
fuse,2,217799
boost,2,215186
threephas,2,186372
onoff,2,180986
directcurr,2,180575
lowvoltag,2,180562
amplitud,2,176320
imped,2,173912
duti,2,146540
serial,2,145564
analog,2,145270
microcomput,2,136776
contactor,2,136669
inductor,2,132198
shortcircuit,2,128351
pwm,2,115806
standbi,2,109733
backup,2,104523
ic,2,100037
waveform,2,96438
invers,2,87636
noncontact,2,86288
shunt,2,84902
breaker,2,84620
cutoff,2,83534
microcontrol,2,81586
clock,2,80556
mcu,2,80486
highpow,2,79461
changeov,2,75986
highfrequ,2,72900
tune,2,71697
transient,2,71302
cpu,2,70591
alternatingcurr,2,66507
tap,2,63797
topolog,2,62950
harmon,2,62273
rectif,2,58960
multiphas,2,57561
acdc,2,57222
super,2,56644
amplif,2,56142
precharg,2,55094
overcurr,2,54530
feeder,2,53356
inputoutput,2,53097
rippl,2,49853
buse,2,45742
contactless,2,40209
galvan,2,39280
unidirect,2,38493
fundament,2,36686
breakdown,2,35642
overvoltag,2,34472
surg,2,34241
parasit,2,31808
volt,2,30337
igbt,2,28505
singlephas,2,26124
substat,2,25818
asynchron,2,25557
dcac,2,24992
chopper,2,24119
potentiomet,2,23826
uninterrupt,2,23348
mosfet,2,22922
plu,2,21260
io,2,20826
cascad,2,20823
triod,2,20366
imbal,2,20169
daxi,2,19796
parallelli,2,19694
powersuppli,2,19569
cp,2,19311
stepup,2,18521
qaxi,2,18233
hv,2,18034
multilevel,2,17965
stepdown,2,17877
interleav,2,17512
lowpow,2,17088
analogtodigit,2,16606
seriesparallel,2,16302
seriesconnect,2,16238
rc,2,16129
tofrom,2,15945
buck,2,15930
tr,2,15927
hz,2,15125
outag,2,14817
choke,2,14682
sinusoid,2,14489
lc,2,14396
twophas,2,14243
turnoff,2,14054
multichannel,2,13848
thyristor,2,13815
electricpow,2,13496
midpoint,2,13433
fet,2,13329
selfpow,2,13301
lowfrequ,2,12774
sw,2,12627
polyphas,2,12263
sine,2,11927
star,2,11676
fullbridg,2,11122
unbalanc,2,10791
vv,2,10628
emi,2,10444
turnon,2,10377
impress,2,10167
halfbridg,2,10156
ultracapacitor,2,9941
pulsewidth,2,9732
rheostat,2,9393
dsp,2,9307
offstat,2,9137
pe,2,9090
pfc,2,9056
fourier,2,8815
energis,2,8801
noload,2,8735
lowpass,2,8713
highlow,2,8630
undervoltag,2,8536
onstat,2,8522
acc,2,8421
