modularity_class,Technology_Domain_Name
0,Affordable_Design_and_Manufacturing
1,Data_Structures_and_Naming_Systems
2,Electrical_Power_Systems
3,System_Architecture_and_Documentation
4,Mechanical_Drive_Systems
5,Conceptual_and_Investigative_Methods
6,Perception_and_Sensor_Systems
7,Specialized_Application:_Agriculture
8,Control_Systems_and_Stability
9,System_Management_and_Scheduling
10,System_Performance_and_Evaluation
11,Connectivity_and_Data_Communication
12,Vehicle_Dynamics_and_Balance
13,Vehicle_Design_and_Features
14,AI_and_Problem_Solving_Capabilities
15,Environmental_Sensing_and_Monitoring
16,Driver_Assistance_and_Safety_Systems
17,Operational_Readiness_and_Deactivation
18,Structural_Arrangement_and_Support
19,Electromagnetic_Machinery
20,Material_Composition_and_Manufacturing
21,Spatial_Arrangement_and_Packaging
22,Path_Planning_and_Navigation
23,Safety_and_Cost_Efficiency
24,System_Limits_and_Extremes
25,Construction_and_Assembly
26,Additional_Information_and_Extensions
27,Efficiency_and_Quality_Improvement
28,Heavy_Load_and_Transport_Applications
29,Standards_and_Compatibility
30,Algorithmic_Methods
31,System_Configuration_and_Coupling
32,Main_and_Auxiliary_Systems
33,Prevention_and_Protection_Systems
34,Material_Handling_and_Manufacturing
35,Human_Machine_Interface_(HMI)
36,User_Interface_and_Controls
37,Maintenance_and_System_Optimization
38,Automation_and_Manual_Processes
39,System_Limitations
40,System_Characterization
41,Conventional_and_Alternative_Methods
42,Data_Processing_and_Refinement
43,Optical_Sensing_and_Light_Systems
44,Adjustment_and_Angles
45,Communication_Devices_and_Alerts
46,System_Adaptation_and_Variability
47,Solution_Selection_and_Decision_Making
48,System_Architecture_and_Multiplicity
49,Electrical_Simplification
50,Emergency_and_Firefighting_Equipment
51,Language_and_Coding
52,Structural_Design_and_Integration
53,Wiring_and_Electrical_Flexibility
54,Vibration_and_Suspension_Systems
55,System_Diagrams_and_Schematics
56,Acoustic_Sensing_and_Noise_Control
57,Tools_and_Portability
58,Electronic_Components
59,System_Distinction_and_Partiality
60,Security_and_Movement_Control
61,Application_Domains
62,Applicability_and_Suitability
63,Parking_Systems_and_Area_Management
64,Aerial_and_Propulsion_Systems
65,Security_and_Defense_Systems
66,Engine_and_Fluid_Systems
67,Continuity_and_Smoothness_Control
68,Connectivity_and_Plug_Systems
69,Algorithm_Selection_and_Randomness
70,Range_and_Tolerance_Evaluation
71,System_Modes_and_Modalities
72,Wipers_and_Windscreen_Systems
73,Bidirectional_Movement_Control
74,Data_Management_and_Proximity
75,Localization_and_Zoning
76,Action_Planning_and_Execution
77,Assembly_and_Preassembly
78,Tires_and_Wear_Components
79,Data_Repetition_and_Management
80,Energy_Storage_Systems
81,Testing_and_Simulation
82,Data_Plurality_and_Intervals
83,Apparatus_and_Axes_Components
84,General
