cluster_id	emerging_year	growth_year	maturity_year	saturation_year
0	2004	2017	2030	2035
2	2005	2017	2029	2034
3	1994	2016	2039	2044
4	2001	2016	2030	2035
5	2005	2018	2030	2035
6	2002	2017	2032	2037
7	2008	2019	2030	2035
8	2004	2017	2029	2034
9	2004	2018	2031	2036
10	2002	2017	2032	2037
11	2008	2019	2029	2034
12	2010	2024	2037	2042
13	2006	2018	2030	2035
14	2001	2014	2028	2033
15	2004	2016	2028	2033
16	2003	2016	2029	2034
17	2000	2016	2032	2037
18	2006	2019	2031	2036
19	2003	2016	2030	2035
20	2003	2017	2030	2035
21	2002	2016	2030	2035
22	2003	2018	2033	2038
23	2009	2018	2028	2033
24	2004	2017	2030	2035
25	2006	2020	2034	2039
26	2003	2019	2035	2040
27	2004	2019	2034	2039
28	2001	2017	2034	2039
29	2005	2020	2034	2039
30	2003	2017	2032	2037
31	2008	2018	2028	2033
32	2005	2018	2032	2037
33	2002	2018	2033	2038
34	2007	2019	2030	2035
36	2005	2017	2029	2034
37	1998	2014	2031	2036
38	1999	2018	2036	2041
39	2003	2017	2031	2036
40	1996	2014	2032	2037
41	1976	2021	2066	2071
42	2006	2018	2031	2036
43	2002	2017	2031	2036
44	2003	2018	2033	2038
45	2007	2018	2029	2034
46	1999	2016	2034	2039
47	2005	2017	2029	2034
48	2004	2018	2032	2037
49	2006	2018	2029	2034
50	2008	2019	2030	2035
51	2003	2020	2036	2041
52	2006	2018	2030	2035
53	2004	2017	2031	2036
54	2003	2018	2033	2038
55	2009	2019	2029	2034
56	2003	2016	2029	2034
57	2002	2018	2033	2038
58	2006	2018	2029	2034
59	2006	2018	2030	2035
60	1998	2016	2035	2040
61	2001	2019	2037	2042
62	2001	2016	2031	2036
64	2007	2019	2030	2035
65	2006	2018	2029	2034
66	2001	2016	2031	2036
67	2000	2018	2036	2041
68	2007	2018	2029	2034
69	2003	2017	2031	2036
70	2002	2017	2031	2036
71	2009	2019	2028	2033
72	2001	2023	2044	2049
74	2010	2019	2028	2033
75	2005	2018	2032	2037
76	2003	2020	2038	2043
77	2006	2019	2033	2038
78	2000	2016	2032	2037
79	2000	2017	2034	2039
80	2010	2019	2027	2032
81	2006	2019	2031	2036
82	2007	2019	2030	2035
83	2001	2016	2031	2036
84	2005	2017	2030	2035
