Cluster ID,K,P(t),P(t)/K
0,4078295.733424204,782952.8687474009,0.19198040552346626
2,48197694.33940636,5090079.96527888,0.10560837058791084
3,156747.15935178104,82100.18454033483,0.5237746245600589
4,136151462180.8226,6239251.85240358,4.5825815988059215e-05
5,5363213.627391946,768723.033408468,0.14333254030425172
6,357408856820.5762,1785715.1820729605,4.996281284012535e-06
7,7569410483.458085,96536.26770871239,1.2753472403125613e-05
8,23822663.978612266,1519414.3021211876,0.06378020121869248
9,1324054348829.243,3739086.876319657,2.823967822488433e-06
10,36990069276.43761,119579.22688837172,3.2327386573602007e-06
11,3723529307360.299,9080366.216756372,2.438645023904395e-06
12,369025.626249167,40472.334877937705,0.10967350774336383
13,471939399310.5281,2314459.0282504708,4.90414453981113e-06
14,1730509.654767808,889122.5106965639,0.5137922855540857
15,15182544.086253656,3994362.1822086717,0.2630891212642804
16,6198288.988800902,411918.5580691178,0.06645681716573303
17,104938366066.14561,542071.7056257365,5.165619839021063e-06
18,2329902472087.929,9669574.404123822,4.1502056502212675e-06
19,29665069.508904465,1130151.848463159,0.03809705715079903
20,65522195.92549064,8166157.16379838,0.12463192126656782
21,1273388220577.5664,5296390.323543945,4.159289553614435e-06
22,158880239557.02783,559282.8939803015,3.520153894150913e-06
23,31061189.837780304,2985241.828970678,0.0961084184012704
24,2857231.2215586593,401840.2909482735,0.14063975218955643
25,67883661110.22177,169405.13460595938,2.4955214824212056e-06
26,46276939126.74365,137970.9798628457,2.9814197409420205e-06
27,142633730441.16104,539292.9482904435,3.780963637580183e-06
28,175205118679.43784,364742.9308314758,2.081805221106718e-06
29,40128182547.32433,107006.17382725465,2.666609027235638e-06
30,15026806716.103909,155104.56662450024,1.0321858100316016e-05
31,9704861.720968641,1753307.857006699,0.18066283759803037
32,34924892108.734985,205647.00496084648,5.888264574177813e-06
33,224716553281.77835,577171.0204813178,2.568440161849523e-06
34,216340091597.6431,684436.2008834282,3.1637048677799707e-06
35,1577880.2195979988,595755.4651781447,0.3775669773779959
36,1939004.99046969,222335.77702872662,0.11466488127752042
37,1333489.1520740981,266270.085288295,0.19967922864174836
38,57694009636.95643,190675.37468247776,3.3049423307951004e-06
39,65935646.38763961,482597.5476063686,0.007319220695420937
40,51092480683.97937,711936.7849585094,1.3934277127040051e-05
41,243944674980.4944,919400.3368372424,3.7688887322945534e-06
42,143388594239.12662,238424.6962015758,1.6627870401181223e-06
43,327731003789.35016,2100264.996978889,6.408502621646499e-06
44,118510881243.55576,302503.8540332259,2.5525407528743283e-06
45,6436023.988408191,1320956.3762858917,0.2052441660666652
46,336640878.34375226,223561.91654084605,0.0006640961657442014
47,15978994967.371767,371442.19916654,2.324565468134915e-05
48,68899617053.54092,298817.77147974214,4.337001920453854e-06
49,21845281.658003658,1772482.9758110405,0.08113802346703274
50,63510163229.27059,232273.94863740925,3.6572721093300346e-06
51,26612035891.23546,89878.40916483103,3.3773593847598873e-06
52,5593683.190238495,545187.1308034435,0.0974647852339665
53,70919251240.2627,702143.6014241735,9.900606522838587e-06
54,9070063438.728016,189596.4936335835,2.0903546586458328e-05
55,74510786964.87425,244827.81899301763,3.2858036932079907e-06
56,1538846.784999873,485055.8423250821,0.31520736635591834
57,81215752770.76105,248230.8480158095,3.0564372002616776e-06
58,1475874.5843974776,357724.9712103543,0.24238168675856336
59,21470630.622185223,1490777.9393510832,0.06943335599144856
60,786859247354.5488,2383203.6162240244,3.028754665127781e-06
61,22804794285.998726,105566.20776123286,4.62912343945354e-06
62,37659429912.83641,296161.05010307994,7.86419366380615e-06
63,28013349488.98196,266400.87124932074,9.50978287527166e-06
64,147147538257.08167,697685.4325205095,4.741400643085053e-06
65,10274588.981107512,1268320.9245427682,0.12344249749307773
66,84594274.49851987,6999613.908111909,0.08274335289954382
67,9080305491.030195,123305.25137813594,1.3579416628652049e-05
68,110112169325.25249,1048987.17466552,9.526532635707063e-06
69,3372746.7010866855,162006.83697911946,0.048034095453098065
70,7416055.240195717,223224.2851057158,0.0301001378597909
71,1041026.5077882797,180874.08639944097,0.1737458989240517
72,11498450056.855555,60420.028544656605,5.254623731537908e-06
73,3033446.580390039,71416.70406292586,0.02354308941011354
74,50061557.01692813,2225258.946788172,0.04445045418854449
75,67694416076.80256,199942.88657672898,2.9536097386508838e-06
76,34443817178.01534,130807.41280342406,3.7977037250945364e-06
77,178335158777.02435,373780.08710575965,2.095941650928764e-06
78,7499075804.960836,127365.99809802919,1.6984225978056287e-05
79,32895042280.165676,91879.53300667193,2.7931118684736094e-06
80,10961998.376221849,3115965.592236886,0.2842516013317301
81,51414561563.9516,161464.90810129567,3.140450938212491e-06
82,166329691540.28897,412224.8540324716,2.4783599982365206e-06
83,1926571.8170810363,308743.0266584331,0.16025513501293298
84,94516062526.64694,673056.5252943924,7.121080875588076e-06
