Technology_Theme,Cluster_Name,Emerging,Growth,Maturity,Saturation
0,Affordable_Design_and_Manufacturing,2017,2036,2055,2041
2,Electrical_Power_Systems,2023,2043,2062,2048
3,System_Architecture_and_Documentation,1997,2023,2049,2028
4,Mechanical_Drive_Systems,2107,2131,2154,2136
5,Conceptual_and_Investigative_Methods,2021,2038,2055,2043
6,Perception_and_Sensor_Systems,2120,2142,2163,2147
7,Specialized_Application:_Agriculture,2089,2105,2120,2110
8,Control_Systems_and_Stability,2028,2048,2067,2053
9,System_Management_and_Scheduling,2119,2139,2158,2144
10,System_Performance_and_Evaluation,2129,2151,2173,2156
11,Connectivity_and_Data_Communication,2099,2114,2130,2119
12,Vehicle_Dynamics_and_Balance,2023,2041,2058,2046
13,Vehicle_Design_and_Features,2107,2126,2144,2131
14,AI_and_Problem_Solving_Capabilities,2005,2024,2042,2029
15,Environmental_Sensing_and_Monitoring,2015,2032,2050,2037
16,Driver_Assistance_and_Safety_Systems,2028,2049,2070,2054
17,Operational_Readiness_and_Deactivation,2134,2158,2182,2163
18,Structural_Arrangement_and_Support,2104,2121,2138,2126
19,Electromagnetic_Machinery,2034,2056,2077,2061
20,Material_Composition_and_Manufacturing,2022,2042,2062,2047
21,Spatial_Arrangement_and_Packaging,2128,2151,2173,2156
22,Path_Planning_and_Navigation,2122,2142,2163,2147
23,Safety_and_Cost_Efficiency,2024,2039,2054,2044
24,System_Limits_and_Extremes,2021,2039,2058,2044
25,Construction_and_Assembly,2112,2131,2149,2136
26,Additional_Information_and_Extensions,2125,2146,2167,2151
27,Efficiency_and_Quality_Improvement,2112,2131,2150,2136
28,Heavy_Load_and_Transport_Applications,2133,2155,2178,2160
29,Standards_and_Compatibility,2120,2139,2159,2144
30,Algorithmic_Methods,2116,2138,2159,2143
31,System_Configuration_and_Coupling,2019,2034,2049,2039
32,Main_and_Auxiliary_Systems,2111,2130,2149,2135
33,Prevention_and_Protection_Systems,2126,2147,2168,2152
34,Material_Handling_and_Manufacturing,2104,2121,2138,2126
35,Human_Machine_Interface_(HMI),2013,2027,2042,2032
36,User_Interface_and_Controls,2023,2041,2058,2046
37,Maintenance_and_System_Optimization,2015,2040,2065,2045
38,Automation_and_Manual_Processes,2137,2161,2184,2166
39,System_Limitations,2050,2072,2093,2077
40,System_Characterization,2144,2173,2203,2178
41,Conventional_and_Alternative_Methods,2224,2267,2310,2272
42,Data_Processing_and_Refinement,2112,2129,2147,2134
43,Optical_Sensing_and_Light_Systems,2120,2141,2163,2146
44,Adjustment_and_Angles,2123,2143,2164,2148
45,Communication_Devices_and_Alerts,2018,2034,2049,2039
46,System_Adaptation_and_Variability,2086,2113,2139,2118
47,Solution_Selection_and_Decision_Making,2097,2116,2135,2121
48,System_Architecture_and_Multiplicity,2118,2139,2159,2144
49,Electrical_Simplification,2026,2044,2061,2049
50,Emergency_and_Firefighting_Equipment,2100,2116,2133,2121
51,Language_and_Coding,2119,2140,2160,2145
52,Structural_Design_and_Integration,2024,2041,2058,2046
53,Wiring_and_Electrical_Flexibility,2111,2131,2151,2136
54,Vibration_and_Suspension_Systems,2109,2131,2152,2136
55,System_Diagrams_and_Schematics,2092,2106,2121,2111
56,Acoustic_Sensing_and_Noise_Control,2012,2030,2048,2035
57,Tools_and_Portability,2130,2153,2175,2158
58,Electronic_Components,2016,2032,2048,2037
59,System_Distinction_and_Partiality,2027,2045,2063,2050
60,Security_and_Movement_Control,2148,2174,2200,2179
61,Application_Domains,2140,2165,2190,2170
62,Applicability_and_Suitability,2123,2146,2169,2151
63,Parking_Systems_and_Area_Management,2094,2110,2127,2115
64,Aerial_and_Propulsion_Systems,2099,2115,2131,2120
65,Security_and_Defense_Systems,2022,2039,2056,2044
66,Engine_and_Fluid_Systems,2026,2049,2071,2054
67,Continuity_and_Smoothness_Control,2133,2160,2186,2165
68,Connectivity_and_Plug_Systems,2099,2116,2134,2121
69,Algorithm_Selection_and_Randomness,2031,2051,2072,2056
70,Range_and_Tolerance_Evaluation,2036,2058,2079,2063
71,System_Modes_and_Modalities,2020,2034,2048,2039
72,Wipers_and_Windscreen_Systems,2149,2176,2204,2181
73,Bidirectional_Movement_Control,2040,2062,2085,2067
74,Data_Management_and_Proximity,2030,2044,2058,2049
75,Localization_and_Zoning,2114,2133,2151,2138
76,Action_Planning_and_Execution,2126,2148,2170,2153
77,Assembly_and_Preassembly,2105,2121,2138,2126
78,Tires_and_Wear_Components,2120,2145,2169,2150
79,Data_Repetition_and_Management,2138,2162,2186,2167
80,Energy_Storage_Systems,2017,2029,2042,2034
81,Testing_and_Simulation,2109,2127,2145,2132
82,Data_Plurality_and_Intervals,2105,2122,2138,2127
83,Apparatus_and_Axes_Components,2019,2040,2062,2045
84,General,2110,2130,2150,2135
