Technology_Theme,Cluster_Name,Emerging,Growth,Maturity,Saturation
0,Affordable_Design_and_Manufacturing,2055,2036,2017,2022
2,Electrical_Power_Systems,2062,2043,2023,2028
3,System_Architecture_and_Documentation,2049,2023,1997,2002
4,Mechanical_Drive_Systems,2154,2131,2107,2112
5,Conceptual_and_Investigative_Methods,2055,2038,2021,2026
6,Perception_and_Sensor_Systems,2163,2141,2120,2125
7,Specialized_Application:_Agriculture,2120,2105,2089,2094
8,Control_Systems_and_Stability,2067,2048,2028,2033
9,System_Management_and_Scheduling,2158,2139,2119,2124
10,System_Performance_and_Evaluation,2173,2151,2129,2134
11,Connectivity_and_Data_Communication,2130,2114,2099,2104
12,Vehicle_Dynamics_and_Balance,2058,2041,2023,2028
13,Vehicle_Design_and_Features,2144,2126,2107,2112
14,AI_and_Problem_Solving_Capabilities,2042,2024,2005,2010
15,Environmental_Sensing_and_Monitoring,2050,2032,2015,2020
16,Driver_Assistance_and_Safety_Systems,2070,2049,2028,2033
17,Operational_Readiness_and_Deactivation,2182,2158,2134,2139
18,Structural_Arrangement_and_Support,2138,2121,2104,2109
19,Electromagnetic_Machinery,2077,2056,2034,2039
20,Material_Composition_and_Manufacturing,2062,2042,2022,2027
21,Spatial_Arrangement_and_Packaging,2173,2151,2128,2133
22,Path_Planning_and_Navigation,2163,2142,2122,2127
23,Safety_and_Cost_Efficiency,2054,2039,2024,2029
24,System_Limits_and_Extremes,2058,2039,2021,2026
25,Construction_and_Assembly,2149,2131,2112,2117
26,Additional_Information_and_Extensions,2167,2146,2125,2130
27,Efficiency_and_Quality_Improvement,2150,2131,2112,2117
28,Heavy_Load_and_Transport_Applications,2177,2155,2133,2138
29,Standards_and_Compatibility,2159,2139,2120,2125
30,Algorithmic_Methods,2160,2138,2116,2121
31,System_Configuration_and_Coupling,2049,2034,2019,2024
32,Main_and_Auxiliary_Systems,2149,2130,2111,2116
33,Prevention_and_Protection_Systems,2168,2147,2126,2131
34,Material_Handling_and_Manufacturing,2138,2121,2104,2109
35,Human_Machine_Interface_(HMI),2042,2027,2013,2018
36,User_Interface_and_Controls,2058,2041,2023,2028
37,Maintenance_and_System_Optimization,2065,2040,2015,2020
38,Automation_and_Manual_Processes,2184,2161,2137,2142
39,System_Limitations,2093,2072,2050,2055
40,System_Characterization,2203,2173,2144,2149
41,Conventional_and_Alternative_Methods,2310,2267,2224,2229
42,Data_Processing_and_Refinement,2147,2130,2112,2117
43,Optical_Sensing_and_Light_Systems,2163,2141,2120,2125
44,Adjustment_and_Angles,2164,2143,2123,2128
45,Communication_Devices_and_Alerts,2049,2034,2018,2023
46,System_Adaptation_and_Variability,2139,2113,2086,2091
47,Solution_Selection_and_Decision_Making,2135,2116,2097,2102
48,System_Architecture_and_Multiplicity,2159,2139,2118,2123
49,Electrical_Simplification,2061,2044,2026,2031
50,Emergency_and_Firefighting_Equipment,2133,2116,2100,2105
51,Language_and_Coding,2160,2140,2120,2125
52,Structural_Design_and_Integration,2058,2041,2024,2029
53,Wiring_and_Electrical_Flexibility,2151,2131,2110,2115
54,Vibration_and_Suspension_Systems,2152,2131,2109,2114
55,System_Diagrams_and_Schematics,2121,2106,2092,2097
56,Acoustic_Sensing_and_Noise_Control,2048,2030,2012,2017
57,Tools_and_Portability,2175,2153,2130,2135
58,Electronic_Components,2048,2032,2016,2021
59,System_Distinction_and_Partiality,2063,2045,2027,2032
60,Security_and_Movement_Control,2200,2174,2148,2153
61,Application_Domains,2190,2165,2140,2145
62,Applicability_and_Suitability,2168,2146,2123,2128
63,Parking_Systems_and_Area_Management,2127,2110,2094,2099
64,Aerial_and_Propulsion_Systems,2132,2115,2099,2104
65,Security_and_Defense_Systems,2056,2039,2022,2027
66,Engine_and_Fluid_Systems,2071,2049,2026,2031
67,Continuity_and_Smoothness_Control,2186,2159,2133,2138
68,Connectivity_and_Plug_Systems,2134,2116,2099,2104
69,Algorithm_Selection_and_Randomness,2072,2051,2031,2036
70,Range_and_Tolerance_Evaluation,2079,2058,2036,2041
71,System_Modes_and_Modalities,2048,2034,2020,2025
72,Wipers_and_Windscreen_Systems,2204,2176,2149,2154
73,Bidirectional_Movement_Control,2085,2062,2040,2045
74,Data_Management_and_Proximity,2058,2044,2030,2035
75,Localization_and_Zoning,2151,2133,2114,2119
76,Action_Planning_and_Execution,2170,2148,2127,2132
77,Assembly_and_Preassembly,2138,2121,2105,2110
78,Tires_and_Wear_Components,2169,2145,2121,2126
79,Data_Repetition_and_Management,2186,2162,2138,2143
80,Energy_Storage_Systems,2042,2029,2017,2022
81,Testing_and_Simulation,2145,2127,2109,2114
82,Data_Plurality_and_Intervals,2139,2122,2105,2110
83,Apparatus_and_Axes_Components,2062,2040,2019,2024
84,General,2150,2130,2111,2116
