Technology Theme,Emerging,Growth,Maturity,Saturation,Stage_Category,Maturity_Score
0,2023,2027,2028,2033,Medium-term,3.87
2,2021,2023,2026,2031,Near-term,4.1
3,2016,2019,2022,2027,Already Mature,12.56
4,2017,2021,2023,2028,Already Mature,7.52
5,2025,2026,2028,2033,Medium-term,1.71
6,2022,2023,2025,2030,Near-term,4.02
7,2023,2026,2029,2034,Medium-term,2.11
8,2022,2027,2030,2035,Medium-term,3.96
9,2023,2027,2028,2033,Medium-term,3.88
10,2022,2023,2025,2030,Near-term,4.11
11,2022,2026,2028,2033,Medium-term,1.51
12,2024,2027,2028,2033,Medium-term,2.31
13,2024,2027,2030,2035,Medium-term,1.73
14,2019,2022,2024,2029,Already Mature,9.11
15,2023,2027,2029,2034,Medium-term,3.89
16,2025,2027,2029,2034,Medium-term,3.93
17,2025,2027,2029,2034,Medium-term,3.53
18,2015,2020,2023,2028,Already Mature,6.9
19,2019,2025,2026,2031,Near-term,4.02
20,2024,2027,2028,2033,Medium-term,3.77
21,2025,2027,2028,2033,Medium-term,3.78
22,2022,2023,2025,2030,Near-term,4.3
23,2016,2019,2022,2027,Already Mature,6.92
24,2017,2019,2022,2027,Already Mature,8.32
25,2024,2025,2028,2033,Medium-term,2.27
26,2024,2025,2027,2032,Near-term,4.15
27,2022,2029,2030,2035,Medium-term,1.6
28,2021,2023,2026,2031,Near-term,4.23
29,2020,2025,2028,2033,Medium-term,3.97
30,2018,2023,2026,2031,Near-term,4.26
31,2026,2028,2030,2035,Medium-term,1.54
32,2024,2026,2027,2032,Near-term,5.94
33,2016,2020,2023,2028,Already Mature,9.01
34,2025,2029,2030,2035,Medium-term,2.1
35,2022,2024,2027,2032,Near-term,5.73
36,2025,2028,2029,2034,Medium-term,1.66
37,2017,2023,2025,2030,Near-term,4.8
38,2017,2022,2023,2028,Already Mature,9.38
39,2019,2021,2022,2027,Already Mature,7.82
40,2019,2024,2025,2030,Near-term,5.15
41,2019,2024,2027,2032,Near-term,5.36
42,2025,2026,2028,2033,Medium-term,1.92
43,2025,2028,2030,2035,Medium-term,3.77
44,2022,2027,2028,2033,Medium-term,3.72
45,2023,2027,2029,2034,Medium-term,1.56
46,2024,2026,2027,2032,Near-term,5.2
47,2023,2027,2028,2033,Medium-term,1.78
48,2019,2025,2026,2031,Near-term,4.48
49,2025,2028,2029,2034,Medium-term,2.13
50,2023,2026,2029,2034,Medium-term,1.99
51,2027,2028,2030,2035,Medium-term,2.26
52,2022,2026,2028,2033,Medium-term,2.3
53,2024,2026,2027,2032,Near-term,4.13
54,2022,2026,2029,2034,Medium-term,3.82
55,2024,2027,2030,2035,Medium-term,2.09
56,2022,2024,2027,2032,Near-term,4.21
57,2018,2021,2022,2027,Already Mature,7.67
58,2025,2026,2028,2033,Medium-term,2.18
59,2025,2026,2029,2034,Medium-term,2.42
60,2026,2028,2029,2034,Medium-term,3.73
61,2023,2028,2029,2034,Medium-term,3.74
62,2024,2026,2027,2032,Near-term,4.4
63,2024,2028,2030,2035,Medium-term,1.85
64,2027,2028,2030,2035,Medium-term,2.28
65,2024,2027,2029,2034,Medium-term,2.17
66,2015,2020,2022,2027,Already Mature,8.44
67,2022,2024,2026,2031,Near-term,4.66
68,2019,2021,2022,2027,Already Mature,6.95
69,2022,2026,2029,2034,Medium-term,3.52
70,2019,2022,2025,2030,Near-term,4.22
71,2022,2028,2030,2035,Medium-term,1.87
72,2016,2020,2023,2028,Already Mature,10.09
73,2019,2022,2024,2029,Already Mature,11.39
74,2022,2025,2028,2033,Medium-term,1.85
75,2022,2027,2028,2033,Medium-term,1.99
76,2021,2023,2024,2029,Already Mature,9.0
77,2022,2027,2029,2034,Medium-term,2.49
78,2018,2023,2024,2029,Already Mature,8.41
79,2022,2023,2025,2030,Near-term,4.45
80,2024,2029,2030,2035,Medium-term,2.47
81,2021,2025,2028,2033,Medium-term,1.58
82,2026,2029,2030,2035,Medium-term,1.77
83,2025,2026,2029,2034,Medium-term,3.89
84,2018,2023,2026,2031,Near-term,4.07
